first_name,last_name,full_name,team,year,player,position,r1_price,r2_price,r3_price,r4_price,r5_price,r6_price,r7_price,r8_price,r9_price,r10_price,r11_price,r12_price,r13_price,r14_price,r15_price,r16_price,r17_price,r18_price,r19_price,r20_price,r21_price,r22_price,r23_price,r1_score,r2_score,r3_score,r4_score,r5_score,r6_score,r7_score,r8_score,r9_score,r10_score,r11_score,r12_score,r13_score,r14_score,r15_score,r16_score,r17_score,r18_score,r19_score,r20_score,r21_score,r22_score,r23_score
Tim,English,Tim English,Western Bulldogs,2021,Tim_English_Western Bulldogs_2021,RUC,551200,551200,551200,513500,504500,499500,491100,491100,491100,491100,491100,465900,451500,451500,439200,431800,421500,439600,447600,471200,481300,498800,480400,96,57,85,138,61,76,0,0,0,0,100,69,0,65,108,57,126,99,94,111,123,82,49
Tim,Kelly,Tim Kelly,West Coast,2021,Tim_Kelly_West Coast_2021,MID,517400,517400,517400,512700,483500,460100,437200,452300,468700,502200,514900,491800,491800,491800,491800,441200,394100,397400,414300,443200,444300,454900,416500,114,91,88,55,87,77,131,98,127,103,26,0,0,0,46,80,115,82,114,71,105,12,0
Tim,Membrey,Tim Membrey,St Kilda,2021,Tim_Membrey_St Kilda_2021,FWD,363700,363700,363700,374600,390400,398100,399700,375800,355000,342300,332300,363400,412900,412900,412900,438900,446700,442400,443900,430200,405700,396600,379300,108,60,70,125,51,62,71,43,69,69,132,128,0,0,42,105,108,56,68,77,77,67,74
Tim,O'Brien,Tim O'Brien,Hawthorn,2021,Tim_O'Brien_Hawthorn_2021,FWD,297500,297500,297500,297500,284600,271900,288200,308100,308100,309500,309500,290000,290000,280700,287100,300800,314400,314400,318900,327300,325800,337200,386400,72,40,0,33,65,99,53,0,35,0,53,0,65,59,76,72,0,51,85,56,80,125,73
Tim,Taranto,Tim Taranto,Greater Western Sydney,2021,Tim_Taranto_Greater Western Sydney_2021,MID,453700,453700,453700,463300,463300,471200,471000,490900,524100,545300,544900,526600,526600,515200,515400,519100,524200,505800,487900,453400,424200,412800,468900,107,67,114,90,85,102,139,126,96,102,87,0,101,111,100,105,64,94,53,57,118,131,92
Tobe,Watson,Tobe Watson,Fremantle,2021,Tobe_Watson_Fremantle_2021,DEF,303700,303700,303700,303700,303700,303700,303700,302400,300400,293200,266100,254000,227400,227400,227400,227400,227400,227400,227400,227400,213500,213500,227300,33,0,0,71,0,0,74,30,59,24,49,18,0,0,0,0,0,0,0,37,0,70,59
Toby,Bedford,Toby Bedford,Melbourne,2021,Toby_Bedford_Melbourne_2021,FWD,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toby,Greene,Toby Greene,Greater Western Sydney,2021,Toby_Greene_Greater Western Sydney_2021,FWD,448400,448400,448400,462900,489100,501000,505100,490100,484300,463100,463100,463100,463100,455700,471100,486400,477900,449600,449600,449600,419500,417700,418300,86,93,117,120,76,108,83,87,71,0,0,0,103,125,84,57,78,0,0,65,104,0,89
Toby,McLean,Toby McLean,Western Bulldogs,2021,Toby_McLean_Western Bulldogs_2021,FWD,366700,366700,366700,366700,366700,366700,366700,366700,366700,366700,366700,366700,366700,366700,366700,366700,357800,357800,357800,357800,357800,357800,357800,0,0,0,0,0,0,0,0,0,0,0,0,0,70,73,52,0,0,0,0,0,0,0
Toby,Nankervis,Toby Nankervis,Richmond,2021,Toby_Nankervis_Richmond_2021,RUC,442900,442900,442900,441200,446000,469000,496800,510300,498400,478300,471300,468400,468400,468400,468400,468400,468400,468400,473100,479500,492300,481400,468100,76,77,103,89,121,129,77,70,105,94,77,0,0,0,0,0,0,121,97,97,76,88,0
Todd,Goldstein,Todd Goldstein,North Melbourne,2021,Todd_Goldstein_North Melbourne_2021,RUC,601700,601700,601700,571700,546300,527900,505100,477300,467300,489400,500100,504600,504600,497200,500200,520700,533800,564000,573000,582400,566800,555700,514700,109,75,101,101,76,82,80,99,150,67,93,0,126,76,139,120,126,113,122,77,115,92,79
Todd,Marshall,Todd Marshall,Port Adelaide,2021,Todd_Marshall_Port Adelaide_2021,FWD,377400,377400,377400,377400,377400,385500,383800,380700,368300,362200,356200,336600,336600,294900,294900,284000,286000,293700,280300,276200,298800,298800,340400,74,0,46,0,119,58,45,95,66,41,62,0,4,0,83,84,20,42,95,79,0,83,61
